backend,page,memory_usage_psutil,memory_usage_tracemalloc,total_memory,processing_time
rapid,0,650.344,4.036,844.422,7.19
rapid,1,659.297,4.241,853.375,9.35
rapid,2,671.672,4.037,865.75,5.14
rapid,3,673.016,4.095,867.094,6.13
rapid,4,673.75,4.187,867.828,7.73
rapid,5,682.781,4.214,876.859,8.12
rapid,6,684.781,4.207,878.859,7.98
rapid,7,684.922,4.207,879.0,7.89
rapid,8,702.516,4.188,896.594,7.46
rapid,9,702.547,4.174,896.625,7.17
rapid,10,702.578,4.15,896.656,6.67
rapid,11,702.781,4.164,896.859,6.9
rapid,12,703.375,3.906,897.453,1.97
rapid,13,704.312,3.898,898.391,1.94
rapid,14,705.281,3.896,899.359,1.9
rapid,15,705.578,4.135,899.656,6.34
rapid,16,707.359,4.287,901.438,9.3
rapid,17,707.453,4.076,901.531,5.16
rapid,18,707.484,4.127,901.562,6.15
rapid,19,707.531,4.208,901.609,7.71
rapid,20,708.422,4.211,902.5,8.18
rapid,21,708.516,4.215,902.594,7.96
rapid,22,708.578,4.214,902.656,7.97
rapid,23,708.594,4.192,902.672,7.43
rapid,24,716.016,4.177,910.094,7.16
rapid,25,716.031,4.154,910.109,6.69
rapid,26,716.172,4.163,910.25,6.89
rapid,27,716.75,3.905,910.828,2.0
rapid,28,717.703,3.898,911.781,1.93
rapid,29,718.734,3.896,912.812,1.9
rapid,30,720.781,4.135,914.859,6.34
rapid,31,722.375,4.288,916.453,9.52
rapid,32,722.469,4.075,916.547,5.12
rapid,33,723.125,4.127,917.203,6.18
rapid,34,728.938,4.209,923.016,7.73
rapid,35,729.141,4.23,923.219,8.1
rapid,36,729.25,4.22,923.328,7.96
rapid,37,729.344,4.219,923.422,7.91
rapid,38,729.344,4.197,923.422,7.46
rapid,39,729.359,4.182,923.438,7.14
rapid,40,729.391,4.158,923.469,6.72
rapid,41,729.391,4.169,923.469,6.88
rapid,42,729.984,3.912,924.062,1.98
rapid,43,730.875,3.904,924.953,1.93
rapid,44,731.969,3.902,926.047,1.9
paddle,0,826.688,87.79,1752.734,17.74
paddle,1,1200.5,87.962,2126.547,20.1
paddle,2,1118.531,87.749,2044.578,9.58
paddle,3,1120.0,87.813,2046.047,12.08
paddle,4,928.5,87.88,1854.547,15.56
paddle,5,915.188,87.903,1841.234,16.29
paddle,6,887.938,87.903,1813.984,16.24
paddle,7,894.641,87.911,1820.688,16.09
paddle,8,895.281,87.874,1821.328,14.43
paddle,9,895.469,87.866,1821.516,14.01
paddle,10,895.5,87.871,1821.547,13.88
paddle,11,895.516,87.877,1821.562,14.26
paddle,12,888.625,87.603,1814.672,1.86
paddle,13,853.797,87.595,1779.844,1.94
paddle,14,796.328,87.592,1722.375,2.1
paddle,15,796.281,87.834,1722.328,12.16
paddle,16,796.453,87.998,1722.5,19.68
paddle,17,796.5,87.778,1722.547,9.47
paddle,18,796.547,87.835,1722.594,11.94
paddle,19,796.688,87.901,1722.734,15.13
paddle,20,799.875,87.922,1725.922,16.05
paddle,21,799.891,87.922,1725.938,15.97
paddle,22,799.984,87.927,1726.031,16.08
paddle,23,800.125,87.891,1726.172,14.35
paddle,24,800.234,87.881,1726.281,13.95
paddle,25,800.281,87.884,1726.328,13.91
paddle,26,800.297,87.889,1726.344,14.31
paddle,27,800.812,87.615,1726.859,1.84
paddle,28,801.781,87.606,1727.828,1.92
paddle,29,802.641,87.603,1728.688,2.08
paddle,30,802.594,87.847,1728.641,12.16
paddle,31,802.609,88.01,1728.656,19.72
paddle,32,802.594,87.788,1728.641,9.47
paddle,33,805.0,87.841,1731.047,12.02
paddle,34,805.016,87.908,1731.062,15.2
paddle,35,814.578,87.931,1740.625,16.13
paddle,36,814.625,87.928,1740.672,16.05
paddle,37,814.75,87.935,1740.797,16.11
paddle,38,814.922,87.898,1740.969,14.41
paddle,39,814.984,87.889,1741.031,14.01
paddle,40,815.047,87.892,1741.094,13.95
paddle,41,815.047,87.897,1741.094,14.28
paddle,42,824.375,87.62,1750.422,1.84
paddle,43,825.156,87.611,1751.203,1.91
paddle,44,839.734,87.607,1765.781,2.08
onnx,0,157.031,0.332,1933.172,5.99
onnx,1,287.766,0.513,2063.906,9.05
onnx,2,296.75,0.31,2072.891,4.67
onnx,3,296.781,0.372,2072.922,5.73
onnx,4,302.391,0.444,2078.531,7.2
onnx,5,302.906,0.481,2079.047,7.75
onnx,6,302.953,0.475,2079.094,7.62
onnx,7,309.047,0.479,2085.188,7.61
onnx,8,338.328,0.442,2114.469,6.85
onnx,9,338.344,0.456,2114.484,6.72
onnx,10,338.5,0.438,2114.641,6.24
onnx,11,338.516,0.457,2114.656,6.64
onnx,12,341.5,0.171,2117.641,1.01
onnx,13,341.516,0.168,2117.656,1.14
onnx,14,341.516,0.171,2117.656,1.19
onnx,15,344.0,0.426,2120.141,5.96
onnx,16,345.5,0.586,2121.641,9.04
onnx,17,345.594,0.366,2121.734,4.72
onnx,18,346.156,0.424,2122.297,5.76
onnx,19,346.156,0.494,2122.297,7.28
onnx,20,346.156,0.527,2122.297,7.76
onnx,21,353.188,0.518,2129.328,7.65
onnx,22,353.188,0.519,2129.328,7.65
onnx,23,353.188,0.483,2129.328,6.81
onnx,24,360.312,0.482,2136.453,6.7
onnx,25,360.312,0.461,2136.453,6.26
onnx,26,360.312,0.478,2136.453,6.65
onnx,27,360.406,0.191,2136.547,1.02
onnx,28,360.406,0.188,2136.547,1.11
onnx,29,385.25,0.189,2161.391,1.18
onnx,30,385.156,0.444,2161.297,5.93
onnx,31,385.375,0.601,2161.516,9.04
onnx,32,385.469,0.381,2161.609,4.68
onnx,33,385.375,0.437,2161.516,5.74
onnx,34,385.375,0.506,2161.516,7.22
onnx,35,386.625,0.539,2162.766,7.81
onnx,36,386.656,0.528,2162.797,7.65
onnx,37,386.656,0.529,2162.797,7.65
onnx,38,386.656,0.491,2162.797,6.82
onnx,39,386.656,0.491,2162.797,6.73
onnx,40,386.656,0.47,2162.797,6.24
onnx,41,386.656,0.487,2162.797,6.64
onnx,42,386.75,0.201,2162.891,1.02
onnx,43,386.75,0.197,2162.891,1.13
onnx,44,386.75,0.198,2162.891,1.18
